form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,开始起兵时,否,否,,0.95,句子明确提及'开始起兵时'这一时间点，不属下沉句，连续叙述无时间跳跃。
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,最初,否,否,,0.9,时间信息原文为‘最初’，虽模糊但可接受；句子包含事件（楚怀王封项籍为鲁公等），非下沉；上下文连续叙述，未中断时间线，非插叙。
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,无,否,否,,0.95,句子陈述高祖显贵后不知老人去向，为叙事句，非下沉；未打断当前时间线，非插叙；无明确时间信息原文。
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,无,是,否,,0.9,句子描述刘邦显贵后仍戴竹皮冠的后续状态，属于背景性评价，没有具体事件发生，且无明确时间原文。
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,秦二世元年秋天,否,否,,1.0,有明确时间信息原文'秦二世元年秋天'，句子陈述陈胜起义事件，非描述性下沉句，且叙事顺序正常。
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,无,否,否,,0.95,句子描述萧何、曹参因害怕而推让刘季，是具体事件，非下沉句；上下文顺叙，无时间跳跃。
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,无,否,否,,0.95,该句是项羽的直接引语，表达明天早晨的行动计划，属于说话内容，按照规则不进入当前时间信息判断，且句中无明确时间信息原文；句子描述项羽说话这一动作，并非下沉句；上下文叙事连贯，无插叙倒叙。
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,无,否,否,,0.9,句子陈述了函谷关被守、无法进入的事实，属于叙事推进，无模糊时间词，非下沉句，非插叙。
T1,B,B5-01,Agent 5,8.23.3,,,,,B,0.95,"材料前文背景为汉元年十月，后文""十一月间""自然延续，且项羽入关发生在汉元年十一月。"
T1,B,B5-02,Agent 5,8.30.1,,,,,B,0.95,背景已明确汉王在八月平定雍地，紧接着的‘二年’应指汉王自己的纪年，即汉二年。
T1,B,B6-01,Agent 6,8.16.1|8.9.1,,,,,B,1.0,材料B事件为秦二世元年（前209年），材料A事件为秦二世三年（前207年），B早于A。
T1,B,B6-02,Agent 6,8.22.1|8.23.3,,,,,A,0.9,材料A叙述沛公先至霸上，受降秦王，入咸阳又退出；材料B说项羽随后西进欲入关而关门紧闭，故A事件在先。
T1,C,C9-01,Agent 9,7.3.15,项羽本纪,,,,B,0.9,Target描述项羽征集精兵八千，B选项【8.10.13】中沛公征集兵员两三千人，均为征集兵员的具体事件，核心动作一致；而其他选项核心事件不同。
T1,C,C9-02,Agent 9,7.10.1,项羽本纪,,,,C,0.95,Target描述楚军在定陶战败后，楚怀王恐惧，从盱台迁往彭城并合并项羽、吕臣的军队。Source C包含完全一致的事件链：楚怀王看到项梁军队被打垮（定陶之战），恐惧，迁离盱台，建都彭城，合并吕臣、项羽的军队亲自统率。
T1,C,C9-03,Agent 9,7.17.2,项羽本纪,,,,A,1.0,选项A中【8.23.1-2】明确提到沛公听劝派兵把守函谷关，与target描述‘函谷关有兵把守’直接对应，属于同一事件链。
T1,C,C9-04,Agent 9,7.27.1,项羽本纪,,,,D,1.0,target描述汉王回军平定三秦，D中8.29.1-8.29.3详细叙述了汉王用韩信计策从故道回军，袭击并击败雍王章邯，平定雍地，核心动作链一致。
T2,A,A-2-01,Agent 2/3/4,8.21.1,高祖本纪,起初,否,是,,0.95,‘起初’为时间信息原文；句子叙述项羽北救赵之事，与当前沛公西进攻秦的主线时间不一致，是插叙。
T2,A,A-2-02,Agent 2/3/4,8.38.5,高祖本纪,第二年,否,否,,0.95,句中有明确时间词'第二年'，叙述封王事件，非下沉句，且按时间顺序叙述，非插叙。
T2,A,A-2-03,Agent 2/3/4,8.60.3,高祖本纪,项氏失败时,否,是,,0.9,时间信息原文为“项氏失败时”；该句描述利几的背景，是对当前反叛事件发生前情况的回溯，属于插叙。
T2,A,A-2-04,Agent 2/3/4,8.84.1,高祖本纪,无,否,否,,1.0,句子叙述具体事件（高祖受伤得病），非下沉句，且上下文顺叙无插叙倒叙。
T2,A,A-2-05,Agent 2/3/4,8.11.1,高祖本纪,秦二世二年,否,否,,0.9,句首有明确纪年短语'秦二世二年'，且描述了周章军队的行动，不属下沉或插叙。
T2,A,A-2-06,Agent 2/3/4,8.22.1,高祖本纪,汉元年十月,否,否,,1.0,句中有明确时间信息原文'汉元年十月'，且句子描述事件（沛公军至霸上），非下沉句；按上下文叙事顺序为正常推进，无插叙倒叙。
T2,A,A-2-07,Agent 2/3/4,7.18.1,项羽本纪,无,是,否,,0.95,句子主要介绍项伯的身份，无明确时间信息原文，属于下沉句。
T2,A,A-2-08,Agent 2/3/4,7.29.3,项羽本纪,四月,否,否,,1.0,句首有明确时间短语“四月”。
T2,B,B5-03,Agent 5,7.29.3,,,,,A,1.0,前文明确提到‘汉二年冬’和‘春天’，根据汉初以十月为岁首的纪年规则，汉二年冬之后是汉二年春，紧接着是汉二年四月，因此补全为‘汉二年四月’。
