form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,无,是,否,,1.0,[reviewed] 句子描述项梁情绪反应，无具体事件，无明确时间信息原文，符合下沉句定义。
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,最初,否,是,,1.0,[reviewed] “最初”为时间信息原文；句子陈述楚怀王封项籍为鲁公的往事，属于插叙；且为具体事件，非下沉句。
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,等到高祖显贵,否,否,,1.0,[reviewed] 时间信息原文明确；句子陈述显贵后老人不知去向这一事件，非下沉句；叙事顺序连贯，未中断主线，非插叙。
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,等到显贵时,否,否,,0.9,[reviewed] 句子中有'等到显贵时'，是明确的事件相对时间短语，应作为时间信息原文；句子陈述了戴帽子这一事件，非下沉句；叙述连续，未中断时间线，非插叙。
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,秦二世元年秋天,否,否,,1.0,[reviewed] 句中有明确时间点“秦二世元年秋天”，叙述陈胜起义事件，非下沉句或插叙。
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,无,否,否,,1.0,[reviewed] 句子描述萧何、曹参因文官身份和畏祸心态而推让刘季，是叙述层事件，有明确动作（推让），非描述性下沉句；按叙事顺序紧接上文，无时间跳跃，非插叙。
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,无,是,否,,0.9,[reviewed] 句子介绍项伯身份与关系，无明确时间原文，属背景性下沉句。
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,无,否,否,,0.9,[reviewed] 目标句叙述事件，无明确时间信息原文，非下沉或插叙。
T1,B,B5-01,Agent 5,8.23.3,,,,,B,0.95,题面说‘已在汉元年十月先于诸侯到达霸上’，所以此时已是汉元年；后文说‘十一月间’，自然应是汉元年十一月。
T1,B,B5-02,Agent 5,8.30.1,,,,,B,1.0,前文明确背景是项羽封沛公为汉王，汉王八月平定雍地，此处'二年'按上下文是汉二年，选项B符合。
T1,B,B6-01,Agent 6,8.16.1|8.9.1,,,,,B,1.0,材料A有明确时间词'秦二世三年'，材料B有'秦二世元年秋天'，元年早于三年，故B早于A。
T1,B,B6-02,Agent 6,8.22.1|8.23.3,,,,,A,0.95,材料A说沛公先到霸上并进入咸阳，材料B说项羽随后率军西进欲入关而关已闭，可见A在前。
