form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,开始起兵时,否,否,,0.9167,run1:句子明确提及'开始起兵时'这一时间点，不属下沉句，连续叙述无时间跳跃。 | run2:句中有明确时间短语'开始起兵时'，且描述具体事件（年龄），非下沉；由于上下文缺少明确叙述时间线，是否插叙不能确定。 | run3:描述项羽起兵时的年龄，有明确时间信息原文，不是下沉句，也不是插叙倒叙。
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,最初,否,否,,0.9,run1:时间信息原文为‘最初’，虽模糊但可接受；句子包含事件（楚怀王封项籍为鲁公等），非下沉；上下文连续叙述，未中断时间线，非插叙。 | run2:'最初'为模糊时间词，但句中包含封鲁公、葬鲁公等具体事件，非下沉句；叙述连贯未中断当前时间线，非插叙。 | run3:“最初”是模糊时间词，不能独立定位事件，故时间信息原文填“无”；句子叙述事件发展，非下沉句；叙述顺序正常，非插叙倒叙。
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,无,否,否,,0.9167,run1:句子陈述高祖显贵后不知老人去向，为叙事句，非下沉；未打断当前时间线，非插叙；无明确时间信息原文。 | run2:句中有明确时间原文'等到高祖显贵'，非下沉句；叙述顺序为按时间先后，非插叙/倒叙。 | run3:句子陈述高祖显贵后不知老人去向，无具体时间，主要为评价和状态描述，故为下沉句。
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,无,是,否,,0.9,run1:句子描述刘邦显贵后仍戴竹皮冠的后续状态，属于背景性评价，没有具体事件发生，且无明确时间原文。 | run2:句子有明确时间信息原文“等到显贵时”，描述高祖显贵后仍戴此帽的行为，不是纯粹描述性下沉句，且叙事顺序正常，不是插叙。 | run3:目标句描述高祖显贵后仍戴竹皮冠的常态，无具体时间，属于状态描述，故为下沉句；且叙事未中断当前时间线，非插叙。
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,秦二世元年秋天,否,否,,1.0,run1:有明确时间信息原文'秦二世元年秋天'，句子陈述陈胜起义事件，非描述性下沉句，且叙事顺序正常。 | run2:句子明确提到秦二世元年秋天，且描述了起义事件，不是下沉句或插叙。 | run3:句子有明确时间原文“秦二世元年秋天”，且叙述陈胜起义事件，非下沉句，也非插叙/倒叙。
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,无,是,否,,0.9333,run1:句子描述萧何、曹参因害怕而推让刘季，是具体事件，非下沉句；上下文顺叙，无时间跳跃。 | run2:该句描述萧何、曹参的身份和顾虑，无具体事件发生，且无明确时间信息原文。 | run3:句子描述萧何、曹参的身份和动机，属于背景性描述，无明确时间信息原文，非插叙。
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,无,否,否,,0.9667,run1:该句是项羽的直接引语，表达明天早晨的行动计划，属于说话内容，按照规则不进入当前时间信息判断，且句中无明确时间信息原文；句子描述项羽说话这一动作，并非下沉句；上下文叙事连贯，无插叙倒叙。 | run2:目标句是项羽的说话行为，有具体事件（下令），非下沉句；上下文连贯，无插叙倒叙。 | run3:该句是项羽说话的直接引语，属于叙事层的对话，有具体动作（说），且说话内容中的‘明天早晨’是引语内部的时间，不作为当前叙事层的时间原文。
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,无,否,否,,0.9167,run1:句子陈述了函谷关被守、无法进入的事实，属于叙事推进，无模糊时间词，非下沉句，非插叙。 | run2:句子陈述事件，不是下沉句；叙述顺序与上下文一致，非插叙倒叙；无明确时间信息原文。 | run3:句子陈述事实，不涉及下沉或插叙；没有明确时间信息原文。
T1,B,B5-01,Agent 5,8.23.3,,,,,B,0.9833,"run1:材料前文背景为汉元年十月，后文""十一月间""自然延续，且项羽入关发生在汉元年十一月。 | run2:题面背景明确在汉元年十月之后，原文写‘十一月间’，应保持同一纪元，故补全为汉元年十一月。 | run3:背景信息明确提到汉元年十月沛公已到霸上，十一月间项羽欲入关，且材料中书‘十一月间’，故补全为汉元年十一月。"
T1,B,B5-02,Agent 5,8.30.1,,,,,B,0.9833,run1:背景已明确汉王在八月平定雍地，紧接着的‘二年’应指汉王自己的纪年，即汉二年。 | run2:题目背景已交代汉王在八月袭雍，原文写‘二年’，结合汉初纪年，八月后已进入汉二年，故应补全为汉二年。 | run3:背景中汉王八月回军，平定雍地后东出，应是汉二年正月后，故为汉二年。
