form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,,,,,,
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,,,,,,
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,,,,,,
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,,,,,,
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,,,,,,
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,,,,,,
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,,,,,,
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,,,,,,
T1,B,B5-01,Agent 5,8.23.3,,,,,,,
T1,B,B5-02,Agent 5,8.30.1,,,,,,,
T1,B,B6-01,Agent 6,8.16.1|8.9.1,,,,,,,
T1,B,B6-02,Agent 6,8.22.1|8.23.3,,,,,,,
T1,C,C9-01,Agent 9,7.3.15,项羽本纪,,,,,,
T1,C,C9-02,Agent 9,7.10.1,项羽本纪,,,,,,
T1,C,C9-03,Agent 9,7.17.2,项羽本纪,,,,,,
T1,C,C9-04,Agent 9,7.27.1,项羽本纪,,,,,,
T2,A,A-2-01,Agent 2/3/4,8.21.1,高祖本纪,,,,,,
T2,A,A-2-02,Agent 2/3/4,8.38.5,高祖本纪,,,,,,
T2,A,A-2-03,Agent 2/3/4,8.60.3,高祖本纪,,,,,,
T2,A,A-2-04,Agent 2/3/4,8.84.1,高祖本纪,,,,,,
T2,A,A-2-05,Agent 2/3/4,8.11.1,高祖本纪,,,,,,
T2,A,A-2-06,Agent 2/3/4,8.22.1,高祖本纪,,,,,,
T2,A,A-2-07,Agent 2/3/4,7.18.1,项羽本纪,,,,,,
T2,A,A-2-08,Agent 2/3/4,7.29.3,项羽本纪,,,,,,
T2,B,B5-03,Agent 5,7.29.3,,,,,,,
T2,B,B5-04,Agent 5,8.26.1,,,,,,,
T2,B,B6-03,Agent 6,8.21.1|8.23.5,,,,,,,
T2,B,B6-04,Agent 6,8.60.3|8.52.7,,,,,,,
T2,C,C9-05,Agent 9,8.51.2,高祖本纪,,,,,,
T2,C,C9-06,Agent 9,8.42.5,高祖本纪,,,,,,
T2,C,C9-07,Agent 9,53.4.3,萧相国世家,,,,,,
T2,C,C9-08,Agent 9,53.4.2,萧相国世家,,,,,,
T3,A,A-3-01,Agent 2/3/4,53.9.4,萧相国世家,,,,,,
T3,A,A-3-02,Agent 2/3/4,53.10.6,萧相国世家,,,,,,
T3,A,A-3-03,Agent 2/3/4,8.26.1,高祖本纪,,,,,,
T3,A,A-3-04,Agent 2/3/4,8.29.1,高祖本纪,,,,,,
T3,A,A-3-05,Agent 2/3/4,7.32.1,项羽本纪,,,,,,
T3,A,A-3-06,Agent 2/3/4,53.11.1,萧相国世家,,,,,,
T3,A,A-3-07,Agent 2/3/4,7.22.5,项羽本纪,,,,,,
T3,A,A-3-08,Agent 2/3/4,8.23.11,高祖本纪,,,,,,
T3,B,B5-05,Agent 5,8.29.1,,,,,,,
T3,B,B5-06,Agent 5,53.11.1,,,,,,,
T3,B,B6-05,Agent 6,53.7.1|53.5.2,,,,,,,
T3,B,B6-06,Agent 6,8.23.6|7.17.6,,,,,,,
T3,C,C9-09,Agent 9,53.4.1,萧相国世家,,,,,,
T3,C,C9-10,Agent 9,53.5.1,萧相国世家,,,,,,
T3,C,C9-11,Agent 9,53.10.2,萧相国世家,,,,,,
T3,C,C9-12,Agent 9,53.10.6,萧相国世家,,,,,,
