case_id,part_id,item_no,sentence_id,source_text,sentence,ai_start_ym,ai_end_ym,ai_unknown,ai_tm,ai_timeblock_id,ai_timeblock_start_tm,ai_timeblock_end_tm,ai_iso_range,ai_crossdoc_used,ai_crossdoc_source_timeblock,ai_oti_exists,ai_oti_text,ai_sink,ai_sink_reason,ai_interlude,ai_interlude_reason,ai_agent_note,participant_start_ym,participant_end_ym,participant_unknown,participant_notes,accepted_ai_without_edit
H-C1,H-C1,1,53.10.1,萧相国世家,汉十一年，陈豨反叛，高祖亲自率军到了邯郸。,-0196-10,-0196-10,,汉十一年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0001.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0001.2,汉十一年,汉十一年,-0196-10to-0196-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十一年; end_time=汉十一年; notes= | step11_postprocess=start[汉十一年->-0196-10] end[汉十一年->-0196-10],,,,,
H-C1,H-C1,2,53.10.2,萧相国世家,平叛尚未结束，淮阴侯韩信又在关中谋反，吕后采用萧何的计策，杀了淮阴侯，此事记载在《淮阴侯列传》中。,-0196-10,-0196-10,,汉十一年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0002.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0002.2,汉十一年,汉十一年,-0196-10to-0196-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十一年; end_time=汉十一年; notes= | step11_postprocess=start[汉十一年->-0196-10] end[汉十一年->-0196-10],,,,,
H-C1,H-C1,3,53.10.3,萧相国世家,高祖已经听说淮阴侯被杀，派遣使者拜丞相萧何为相国，加封五千户，并令五百名士卒、一名都尉做相国的卫队。,-0196-10,-0196-10,,汉十一年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0003.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0003.2,汉十一年,汉十一年,-0196-10to-0196-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十一年; end_time=汉十一年; notes= | step11_postprocess=start[汉十一年->-0196-10] end[汉十一年->-0196-10],,,,,
H-C1,H-C1,4,53.10.4,萧相国世家,为此许多人都来祝贺，唯独召平表示哀悼。,-0196-10,-0196-10,,汉十一年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0004.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0004.2,汉十一年,汉十一年,-0196-10to-0196-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十一年; end_time=汉十一年; notes= | step11_postprocess=start[汉十一年->-0196-10] end[汉十一年->-0196-10],,,,,
H-C1,H-C1,5,53.10.5,萧相国世家,召平原是秦朝的东陵侯。,,,1,未知,,未知,未知,,,,,,1,人物背景介绍，无具体事件时间,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=未知; end_time=未知; notes=召平原为秦朝东陵侯，时间无法确定,,,,,
H-C1,H-C1,6,53.10.6,萧相国世家,秦朝灭亡后，他沦为平民，家中贫穷，在长安城东种瓜。,,,1,未知,,未知,未知,,,,,,1,人物背景介绍，无具体事件时间,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=未知; end_time=未知; notes=秦朝灭亡后至汉初，具体时间不明,,,,,
H-C1,H-C1,7,53.10.7,萧相国世家,他种的瓜味道甜美，所以社会上的人称它为“东陵瓜”，这是根据召平的封号来命名的。,,,1,未知,,未知,未知,,,,,,1,对东陵瓜名称由来的说明，无具体事件时间,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=未知; end_time=未知; notes=,,,,,
H-C1,H-C1,8,53.10.8,萧相国世家,召平对相国萧何说：“祸患从此开始了。皇上风吹日晒地统军在外，而您留守朝中，未遭战事之险，反而增加您的封邑并设置卫队，这是因为目前淮阴侯刚刚在京城谋反，对您的内心有所怀疑。设置卫队保护您，并非以此宠信您，希望您辞让封赏不受，把家产、资财全都捐助军队，那么皇上心里就会高兴。”,-0196-10,-0196-10,,汉十一年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0008.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0008.2,汉十一年,汉十一年,-0196-10to-0196-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十一年; end_time=汉十一年; notes= | step11_postprocess=start[汉十一年->-0196-10] end[汉十一年->-0196-10],,,,,
H-C1,H-C1,9,53.10.9,萧相国世家,萧相国听从了他的计谋。,-0196-10,-0196-10,,汉十一年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0009.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0009.2,汉十一年,汉十一年,-0196-10to-0196-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十一年; end_time=汉十一年; notes= | step11_postprocess=start[汉十一年->-0196-10] end[汉十一年->-0196-10],,,,,
H-C1,H-C1,10,53.10.10,萧相国世家,高帝果然非常欢喜。,-0196-10,-0196-10,,汉十一年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0010.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0010.2,汉十一年,汉十一年,-0196-10to-0196-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十一年; end_time=汉十一年; notes= | step11_postprocess=start[汉十一年->-0196-10] end[汉十一年->-0196-10],,,,,
H-C1,H-C1,11,53.11.1,萧相国世家,汉十二年的秋天，黥布反叛，高祖亲自率军征讨他，多次派人来询问萧相国在做什么。,-0194-09,-0194-09,,汉十二年秋,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0011.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0011.2,汉十二年秋,汉十二年秋,-0194-09to-0194-09,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十二年秋; end_time=汉十二年秋; notes= | step11_postprocess=start[汉十二年秋->-0194-09] end[汉十二年秋->-0194-09],,,,,
H-C1,H-C1,12,53.11.2,萧相国世家,萧相国因为皇上在军中，就在后方安抚勉励百姓，把自己的家财全都捐助军队，和讨伐陈豨时一样。,-0194-09,-0194-09,,汉十二年秋,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0012.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0012.2,汉十二年秋,汉十二年秋,-0194-09to-0194-09,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十二年秋; end_time=汉十二年秋; notes= | step11_postprocess=start[汉十二年秋->-0194-09] end[汉十二年秋->-0194-09],,,,,
H-C1,H-C1,13,53.11.3,萧相国世家,有一个门客劝告萧相国说：“您灭族的日子不远了。您位居相国，功劳数第一，还能够再加功吗？您当初进入关中就深得民心，至今十多年了，民众都亲附您，您还是那么勤勉地做事，与百姓关系和谐，受到爱戴。皇上之所以屡次询问您的情况，是害怕您震撼关中。如今您何不多买田地，采取低价、赊借等手段来败坏自己的声誉？这样，皇上的心才会安定。”,-0194-09,-0194-09,,汉十二年秋,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0013.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0013.2,汉十二年秋,汉十二年秋,-0194-09to-0194-09,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十二年秋; end_time=汉十二年秋; notes= | step11_postprocess=start[汉十二年秋->-0194-09] end[汉十二年秋->-0194-09],,,,,
H-C1,H-C1,14,53.11.4,萧相国世家,于是萧相国听从了他的计谋，高祖才非常高兴。,-0194-09,-0194-09,,汉十二年秋,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0014.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0014.2,汉十二年秋,汉十二年秋,-0194-09to-0194-09,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十二年秋; end_time=汉十二年秋; notes= | step11_postprocess=start[汉十二年秋->-0194-09] end[汉十二年秋->-0194-09],,,,,
H-C1,H-C1,15,53.12.1,萧相国世家,高祖征罢黥布军队回来，民众拦路上书，说相国低价强买百姓田地房屋数量极多。,-0195-10,-0195-10,,汉十二年,ec5c16db-4958-5f73-b7de-345523a3dbba.1.0015.1|ec5c16db-4958-5f73-b7de-345523a3dbba.1.0015.2,汉十二年,汉十二年,-0195-10to-0195-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉十二年; end_time=汉十二年; notes=高祖征罢黥布回来，时间在汉十二年秋之后 | step11_postprocess=start[汉十二年->-0195-10] end[汉十二年->-0195-10],,,,,
H-C2,H-C2,1,7.25.1,项羽本纪,汉元年四月，在项王硅麾之下诸侯罢兵散归，各自回到封国。,-0205-04,-0205-04,,汉元年四月,0f9e349c-6322-53dc-b976-643e077c9e50.2.0001.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0001.2,汉元年四月,汉元年四月,-0205-04to-0205-04,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年四月; end_time=汉元年四月; notes= | step11_postprocess=start[汉高祖元年四月->-0205-04] end[汉高祖元年四月->-0205-04],,,,,
H-C2,H-C2,2,7.25.2,项羽本纪,项王也出关回到封国，派人迁徙义帝，说：“古代做帝王的拥有千里见方的土地，必须住在上游。”于是就派遣使者把义帝迁往长沙郴县。,-0205-04,-0206-10,,汉元年四月,0f9e349c-6322-53dc-b976-643e077c9e50.2.0002.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0002.2,汉元年四月,汉元年,-0205-04to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年四月; end_time=汉元年; notes=承接上文，项王出关后迁徙义帝，时间延续 | step11_postprocess=start[汉高祖元年四月->-0205-04] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,3,7.25.3,项羽本纪,项王催促义帝快些动身，义帝群臣渐渐背叛了他，项王就暗中命令衡山王、临江王把义帝击杀在江中。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0003.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0003.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=项王催促义帝并击杀，时间在汉元年内 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,4,7.25.4,项羽本纪,韩王成没有军功，项王不让他就国，一起到了彭城，废去王号，改封为侯，不久又杀死了。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0004.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0004.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=韩王成被废杀，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,5,7.25.5,项羽本纪,臧荼到了封国，就驱逐韩广去辽东，韩广不服从，臧茶在无终击杀了韩广，兼并了他的封地。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0005.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0005.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=臧荼击杀韩广，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,6,7.26.1,项羽本纪,田荣听说项羽把齐王市徒封胶东，而立齐将田都为齐王，十分气愤，不愿让齐王去胶东，就据齐反叛，迎击田都。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0006.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0006.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=田荣反叛，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,7,7.26.2,项羽本纪,田都逃往楚国。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0007.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0007.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=田都逃往楚国，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,8,7.26.3,项羽本纪,齐工市害怕项王，就潜往胶东就国。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0008.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0008.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=齐王市潜往胶东，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,9,7.26.4,项羽本纪,田荣大为生气，派兵追击，在即墨杀死了他。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0009.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0009.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=田荣击杀齐王市，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,10,7.26.5,项羽本纪,田荣便自立为齐王，向西进兵，击杀了济北王田安，兼并了三齐。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0010.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0010.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=田荣自立为齐王，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
H-C2,H-C2,11,7.26.6,项羽本纪,田荣把将军印授予彭越，让他在梁地反楚。,-0206-10,-0206-10,,汉元年,0f9e349c-6322-53dc-b976-643e077c9e50.2.0011.1|0f9e349c-6322-53dc-b976-643e077c9e50.2.0011.2,汉元年,汉元年,-0206-10to-0206-10,,,,,,,,,Direct LLM baseline raw output; ISO will be post-processed by AIHAgent Step11; start_time=汉元年; end_time=汉元年; notes=田荣授印彭越，时间在汉元年 | step11_postprocess=start[汉高祖元年->-0206-10] end[汉高祖元年->-0206-10],,,,,
