form_id,block,question_id,field,answer,correct,is_correct
T1,A,A-1-01,time_span,无,开始起兵时,0
T1,A,A-1-01,sink,是,否,0
T1,A,A-1-01,interlude,否,否,1
T1,A,A-1-02,time_span,最初,最初等到项籍死了,0
T1,A,A-1-02,sink,否,否,1
T1,A,A-1-02,interlude,是,是,1
T1,A,A-1-03,time_span,等到高祖显贵,等到高祖显贵,1
T1,A,A-1-03,sink,否,否,1
T1,A,A-1-03,interlude,否,是,0
T1,A,A-1-04,time_span,等到显贵时,等到显贵时,1
T1,A,A-1-04,sink,否,否,1
T1,A,A-1-04,interlude,否,是,0
T1,A,A-1-05,time_span,秦二世元年秋天,秦二世元年秋天,1
T1,A,A-1-05,sink,否,否,1
T1,A,A-1-05,interlude,否,否,1
T1,A,A-1-06,time_span,无,无,1
T1,A,A-1-06,sink,否,否,1
T1,A,A-1-06,interlude,否,否,1
T1,A,A-1-07,time_span,无,无,1
T1,A,A-1-07,sink,否,否,1
T1,A,A-1-07,interlude,否,否,1
T1,A,A-1-08,time_span,无,无,1
T1,A,A-1-08,sink,否,否,1
T1,A,A-1-08,interlude,否,否,1
T1,B,B5-01,choice,B,B,1
T1,B,B5-02,choice,B,B,1
T1,B,B6-01,choice,B,B,1
T1,B,B6-02,choice,A,D,0
T1,C,C9-01,choice,B,B,1
T1,C,C9-02,choice,C,C,1
T1,C,C9-03,choice,A,A,1
T1,C,C9-04,choice,D,D,1
T2,A,A-2-01,time_span,起初,起初,1
T2,A,A-2-01,sink,否,否,1
T2,A,A-2-01,interlude,是,是,1
T2,A,A-2-02,time_span,第二年,第二年,1
T2,A,A-2-02,sink,否,否,1
T2,A,A-2-02,interlude,否,否,1
T2,A,A-2-03,time_span,项氏失败时,项氏失败时,1
T2,A,A-2-03,sink,否,否,1
T2,A,A-2-03,interlude,是,否,0
T2,A,A-2-04,time_span,高祖攻打黥布时,高祖攻打黥布时,1
T2,A,A-2-04,sink,否,否,1
T2,A,A-2-04,interlude,否,否,1
T2,A,A-2-05,time_span,秦二世二年,秦二世二年,1
T2,A,A-2-05,sink,否,否,1
T2,A,A-2-05,interlude,否,否,1
T2,A,A-2-06,time_span,汉元年十月,汉元年十月,1
T2,A,A-2-06,sink,否,否,1
T2,A,A-2-06,interlude,否,否,1
T2,A,A-2-07,time_span,无,无,1
T2,A,A-2-07,sink,是,是,1
T2,A,A-2-07,interlude,否,否,1
T2,A,A-2-08,time_span,四月,四月,1
T2,A,A-2-08,sink,否,否,1
T2,A,A-2-08,interlude,否,否,1
T2,B,B5-03,choice,A,A,1
T2,B,B5-04,choice,C,B,0
T2,B,B6-03,choice,A,A,1
T2,B,B6-04,choice,A,C,0
T2,C,C9-05,choice,B,B,1
T2,C,C9-06,choice,D,D,1
T2,C,C9-07,choice,B,A,0
T2,C,C9-08,choice,C,C,1
T3,A,A-3-01,time_span,后又,高祖过去到咸阳服役时,0
T3,A,A-3-01,sink,否,否,1
T3,A,A-3-01,interlude,是,是,1
T3,A,A-3-02,time_span,秦朝灭亡后,秦朝灭亡后,1
T3,A,A-3-02,sink,否,否,1
T3,A,A-3-02,interlude,是,是,1
T3,A,A-3-03,time_span,正月,正月,1
T3,A,A-3-03,sink,否,否,1
T3,A,A-3-03,interlude,否,否,1
T3,A,A-3-04,time_span,八月,八月,1
T3,A,A-3-04,sink,否,否,1
T3,A,A-3-04,interlude,否,否,1
T3,A,A-3-05,time_span,汉三年,汉三年,1
T3,A,A-3-05,sink,否,否,1
T3,A,A-3-05,interlude,否,否,1
T3,A,A-3-06,time_span,汉十二年的秋天,汉十二年的秋天,1
T3,A,A-3-06,sink,否,否,1
T3,A,A-3-06,interlude,否,否,1
T3,A,A-3-07,time_span,天下最初发难的时候,无,0
T3,A,A-3-07,sink,否,否,1
T3,A,A-3-07,interlude,否,否,1
T3,A,A-3-08,time_span,无,无,1
T3,A,A-3-08,sink,是,否,0
T3,A,A-3-08,interlude,否,否,1
T3,B,B5-05,choice,D,D,1
T3,B,B5-06,choice,A,A,1
T3,B,B6-05,choice,B,B,1
T3,B,B6-06,choice,C,C,1
T3,C,C9-09,choice,D,D,1
T3,C,C9-10,choice,C,C,1
T3,C,C9-11,choice,C,C,1
T3,C,C9-12,choice,D,D,1
