form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T1,A,A-1-01,Agent 2/3/4,7.1.2,项羽本纪,无,是,否,,0.9833,run1:[reviewed] 目标句描述项羽小时候学习的具体事件，有事件发生，不是下沉句；无明确时间信息原文；属于顺叙，不是插叙。 | run2:[reviewed] 句子描述项梁生气，是状态性描述，无明确时间信息原文，判定为下沉句。 | run3:[reviewed] 句子描述项梁情绪反应，无具体事件，无明确时间信息原文，符合下沉句定义。
T1,A,A-1-02,Agent 2/3/4,7.48.3,项羽本纪,最初,否,是,,1.0,run1:[reviewed] '最初'是明确的时间信息原文；句子陈述鲁公安葬原因，非下沉；'最初'回溯楚怀王封项籍为鲁公，偏离当前叙事主线，判定为插叙。 | run2:[reviewed] 时间信息原文包括事件相对时间短语'最初'和'等到项籍死了'，明确指示过去的时间点；句子描述了楚怀王封项籍和鲁城投降的事件，不属下沉；'最初'中断当前叙事线，转入过去背景，判为插叙。 | run3:[reviewed] “最初”为时间信息原文；句子陈述楚怀王封项籍为鲁公的往事，属于插叙；且为具体事件，非下沉句。
T1,A,A-1-03,Agent 2/3/4,8.5.11,高祖本纪,等到高祖显贵,否,否,,0.9333,run1:[reviewed] 目标句有明确时间信息原文'等到高祖显贵'；句子陈述具体事件（老人去处不知），非下沉句；叙事顺序正常，非插叙。 | run2:[reviewed] 句首'等到高祖显贵'指明时间锚点，且该句描述事件（老人去处未知），非下沉句；时间上跳至未来，形成插叙。 | run3:[reviewed] 时间信息原文明确；句子陈述显贵后老人不知去向这一事件，非下沉句；叙事顺序连贯，未中断主线，非插叙。
T1,A,A-1-04,Agent 2/3/4,8.6.2,高祖本纪,等到显贵时,否,否,,0.9667,run1:[reviewed] 目标句有明确时间短语‘等到显贵时’，且陈述了戴帽子的习惯动作，不是纯背景描述。 | run2:[reviewed] 有明确时间短语'等到显贵时'，描述事件（仍然戴着刘氏冠），非下沉句；叙述顺序符合时间线，无插叙。 | run3:[reviewed] 句子中有'等到显贵时'，是明确的事件相对时间短语，应作为时间信息原文；句子陈述了戴帽子这一事件，非下沉句；叙述连续，未中断时间线，非插叙。
T1,A,A-1-05,Agent 2/3/4,8.9.1,高祖本纪,秦二世元年秋天,否,否,,1.0,run1:[reviewed] 目标句明确叙述陈胜起义，有确切时间，非下沉句，按时间顺序叙述，非插叙。 | run2:[reviewed] 句子包含明确时间短语'秦二世元年秋天'，描述陈胜起义的具体事件，非描述性下沉句；上下文为连续叙述，无时间线中断。 | run3:[reviewed] 句中有明确时间点“秦二世元年秋天”，叙述陈胜起义事件，非下沉句或插叙。
T1,A,A-1-06,Agent 2/3/4,8.10.7,高祖本纪,无,否,否,,0.9667,run1:[reviewed] 句子虽描述身份背景，但包含“推让刘季”这一动作事件，不应为下沉句；且未偏离当前叙事时间线，故非插叙。 | run2:[reviewed] 句子无明确时间原文，描述萧何、曹参的顾虑和性格，属于背景说明性下沉句。 | run3:[reviewed] 句子描述萧何、曹参因文官身份和畏祸心态而推让刘季，是叙述层事件，有明确动作（推让），非描述性下沉句；按叙事顺序紧接上文，无时间跳跃，非插叙。
T1,A,A-1-07,Agent 2/3/4,7.17.7,项羽本纪,无,否,否,,0.9667,run1:[reviewed] 目标句7.17.7是项羽的直接引语，属于说话内容，不提取时间信息，且无独立事件描述。 | run2:[reviewed] 目标句为直接引语，属于说话内容，不判定时间、下沉或插叙。 | run3:[reviewed] 句子介绍项伯身份与关系，无明确时间原文，属背景性下沉句。
T1,A,A-1-08,Agent 2/3/4,7.17.2,项羽本纪,无,否,否,,0.9667,run1:[reviewed] 句子描述函谷关有兵把守，属于具体事件，非下沉句；叙事连贯，无时间线中断，非插叙。 | run2:[reviewed] 句子无时间信息原文，叙述具体事件（项羽军受阻于函谷关），非下沉句；上下文顺叙，无插叙。 | run3:[reviewed] 目标句叙述事件，无明确时间信息原文，非下沉或插叙。
T1,B,B5-01,Agent 5,8.23.3,,,,,B,0.9667,run1:题面前文明确给出沛公在汉元年十月先入关，后文直接叙述十一月项羽西进入关，时间顺序自然延续为汉元年十一月。 | run2:背景信息明确沛公已在汉元年十月到达霸上并采取行动，后续叙事延续汉元年纪年，原文直接写‘十一月间’，故补全为‘汉元年十一月’最合理。 | run3:题面说‘已在汉元年十月先于诸侯到达霸上’，所以此时已是汉元年；后文说‘十一月间’，自然应是汉元年十一月。
T1,B,B5-02,Agent 5,8.30.1,,,,,B,1.0,run1:前文交代汉王在八月袭击章邯并平定雍地，接着出现'二年'，根据汉初纪年叙事连续性，应为汉二年。 | run2:背景信息明确提到汉王在八月从故道袭击章邯，原文紧接着写‘二年’，且前文已提到项羽在正月自立为西楚霸王、改立沛公为汉王，所以此处‘二年’应为汉二年。 | run3:前文明确背景是项羽封沛公为汉王，汉王八月平定雍地，此处'二年'按上下文是汉二年，选项B符合。
