source,participant_id,stage_id,condition,case_id,part_id,item_no,sentence_id,source_text,sentence_text,state,start_time,end_time,iso_start,iso_end,iso_range,unknown,sink,interlude,accepted_ai_without_edit,unresolved_time_texts,notes
human,P1,stage1,Human-only,H-C1,H-C1,1,53.10.1,萧相国世家,汉十一年，陈豨反叛，高祖亲自率军到了邯郸。,time_range,汉高祖十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,2,53.10.2,萧相国世家,平叛尚未结束，淮阴侯韩信又在关中谋反，吕后采用萧何的计策，杀了淮阴侯，此事记载在《淮阴侯列传》中。,time_range,汉高祖十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,3,53.10.3,萧相国世家,高祖已经听说淮阴侯被杀，派遣使者拜丞相萧何为相国，加封五千户，并令五百名士卒、一名都尉做相国的卫队。,time_range,汉高祖十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,4,53.10.4,萧相国世家,为此许多人都来祝贺，唯独召平表示哀悼。,time_range,汉高祖十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,5,53.10.5,萧相国世家,召平原是秦朝的东陵侯。,time_range,,,,,,false,true,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,6,53.10.6,萧相国世家,秦朝灭亡后，他沦为平民，家中贫穷，在长安城东种瓜。,time_range,,,,,,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,7,53.10.7,萧相国世家,他种的瓜味道甜美，所以社会上的人称它为“东陵瓜”，这是根据召平的封号来命名的。,time_range,,,,,,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,8,53.10.8,萧相国世家,召平对相国萧何说：“祸患从此开始了。皇上风吹日晒地统军在外，而您留守朝中，未遭战事之险，反而增加您的封邑并设置卫队，这是因为目前淮阴侯刚刚在京城谋反，对您的内心有所怀疑。设置卫队保护您，并非以此宠信您，希望您辞让封赏不受，把家产、资财全都捐助军队，那么皇上心里就会高兴。”,time_range,汉高祖十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,9,53.10.9,萧相国世家,萧相国听从了他的计谋。,time_range,汉高祖十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,10,53.10.10,萧相国世家,高帝果然非常欢喜。,time_range,汉高祖十一年,汉高祖十二年秋,-0196-10,-0194-09,-0196-10to-0194-09,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,11,53.11.1,萧相国世家,汉十二年的秋天，黥布反叛，高祖亲自率军征讨他，多次派人来询问萧相国在做什么。,time_range,汉高祖十二年秋,+infinity,-0194-09,+infinity,-0194-09to+infinity,false,false,false,,,
human,P1,stage1,Human-only,H-C1,H-C1,12,53.11.2,萧相国世家,萧相国因为皇上在军中，就在后方安抚勉励百姓，把自己的家财全都捐助军队，和讨伐陈豨时一样。,time_range,汉高祖十二年秋,+infinity,-0194-09,+infinity,-0194-09to+infinity,false,false,false,,,
