form_id,block,question_id,agent,source_id,doc,answer_time_span,answer_sink_yes_no,answer_interlude_yes_no,answer_choice,confidence,notes
T3,A,A-3-01,Agent 2/3/4,53.9.4,萧相国世家,,,,,,
T3,A,A-3-02,Agent 2/3/4,53.10.6,萧相国世家,,,,,,
T3,A,A-3-03,Agent 2/3/4,8.26.1,高祖本纪,,,,,,
T3,A,A-3-04,Agent 2/3/4,8.29.1,高祖本纪,,,,,,
T3,A,A-3-05,Agent 2/3/4,7.32.1,项羽本纪,,,,,,
T3,A,A-3-06,Agent 2/3/4,53.11.1,萧相国世家,,,,,,
T3,A,A-3-07,Agent 2/3/4,7.22.5,项羽本纪,,,,,,
T3,A,A-3-08,Agent 2/3/4,8.23.11,高祖本纪,,,,,,
T3,B,B5-05,Agent 5,8.29.1,,,,,,,
T3,B,B5-06,Agent 5,53.11.1,,,,,,,
T3,B,B6-05,Agent 6,53.7.1|53.5.2,,,,,,,
T3,B,B6-06,Agent 6,8.23.6|7.17.6,,,,,,,
T3,C,C9-09,Agent 9,53.4.1,萧相国世家,,,,,,
T3,C,C9-10,Agent 9,53.5.1,萧相国世家,,,,,,
T3,C,C9-11,Agent 9,53.10.2,萧相国世家,,,,,,
T3,C,C9-12,Agent 9,53.10.6,萧相国世家,,,,,,
