case_id,part_id,item_no,sentence_id,source_text,sentence,ai_start_ym,ai_end_ym,ai_unknown,ai_tm,ai_timeblock_id,ai_timeblock_start_tm,ai_timeblock_end_tm,ai_iso_range,ai_crossdoc_used,ai_crossdoc_source_timeblock,ai_oti_exists,ai_oti_text,ai_sink,ai_sink_reason,ai_interlude,ai_interlude_reason,ai_agent_note,participant_start_ym,participant_end_ym,participant_unknown,participant_notes,accepted_ai_without_edit
H-C1,H-C1,1,53.10.1,萧相国世家,汉十一年，陈豨反叛，高祖亲自率军到了邯郸。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,1,汉十一年,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=3/3,-0196-10,-0194-09,,,
H-C1,H-C1,2,53.10.2,萧相国世家,平叛尚未结束，淮阴侯韩信又在关中谋反，吕后采用萧何的计策，杀了淮阴侯，此事记载在《淮阴侯列传》中。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=3/3,-0196-10,-0194-09,,,
H-C1,H-C1,3,53.10.3,萧相国世家,高祖已经听说淮阴侯被杀，派遣使者拜丞相萧何为相国，加封五千户，并令五百名士卒、一名都尉做相国的卫队。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=3/3,-0196-10,-0194-09,,,
H-C1,H-C1,4,53.10.4,萧相国世家,为此许多人都来祝贺，唯独召平表示哀悼。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=3/3,-0196-10,-0194-09,,,
H-C1,H-C1,5,53.10.5,萧相国世家,召平原是秦朝的东陵侯。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=3/3,-0196-10,-0194-09,,,
H-C1,H-C1,6,53.10.6,萧相国世家,秦朝灭亡后，他沦为平民，家中贫穷，在长安城东种瓜。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=3/3,-0196-10,-0194-09,,,
H-C1,H-C1,7,53.10.7,萧相国世家,他种的瓜味道甜美，所以社会上的人称它为“东陵瓜”，这是根据召平的封号来命名的。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=3/3,-0196-10,-0194-09,,,
H-C1,H-C1,8,53.10.8,萧相国世家,召平对相国萧何说：“祸患从此开始了。皇上风吹日晒地统军在外，而您留守朝中，未遭战事之险，反而增加您的封邑并设置卫队，这是因为目前淮阴侯刚刚在京城谋反，对您的内心有所怀疑。设置卫队保护您，并非以此宠信您，希望您辞让封赏不受，把家产、资财全都捐助军队，那么皇上心里就会高兴。”,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=2/3,-0196-10,-0194-09,,,
H-C1,H-C1,9,53.10.9,萧相国世家,萧相国听从了他的计谋。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=2/3,-0196-10,-0194-09,,,
H-C1,H-C1,10,53.10.10,萧相国世家,高帝果然非常欢喜。,-0196-10,-0194-09,,汉十一年,53.10.1,-0196-10,-0194-09,-0196-10-01to-0194-09-01,,,,,,,,,Agent TimeBlock=53.10.1; TM=汉十一年; Granularity=1. | consensus:majority=2/3,-0196-10,-0194-09,,,
H-C1,H-C1,11,53.11.1,萧相国世家,汉十二年的秋天，黥布反叛，高祖亲自率军征讨他，多次派人来询问萧相国在做什么。,-0194-09,+infinity,,汉十二年秋,53.11.1,-0194-09,+infinity,-0194-09-01to+infinity,,,1,汉十二年的秋天,,,,,Agent TimeBlock=53.11.1; TM=汉十二年秋; Granularity=1. | consensus:majority=3/3,-0194-09,+infinity,,,
H-C1,H-C1,12,53.11.2,萧相国世家,萧相国因为皇上在军中，就在后方安抚勉励百姓，把自己的家财全都捐助军队，和讨伐陈豨时一样。,-0194-09,+infinity,,汉十二年秋,53.11.1,-0194-09,+infinity,-0194-09-01to+infinity,,,,,,,,,Agent TimeBlock=53.11.1; TM=汉十二年秋; Granularity=1. | consensus:majority=3/3,-0194-09,+infinity,,,
H-C1,H-C1,13,53.11.3,萧相国世家,有一个门客劝告萧相国说：“您灭族的日子不远了。您位居相国，功劳数第一，还能够再加功吗？您当初进入关中就深得民心，至今十多年了，民众都亲附您，您还是那么勤勉地做事，与百姓关系和谐，受到爱戴。皇上之所以屡次询问您的情况，是害怕您震撼关中。如今您何不多买田地，采取低价、赊借等手段来败坏自己的声誉？这样，皇上的心才会安定。”,-0194-09,+infinity,,汉高祖十二年,53.11.3,-0194-09,+infinity,-0194-09-01to+infinity,,,1,至今十多年了,,,,,Agent TimeBlock=53.11.3; TM=汉高祖十二年; Granularity=0. | consensus:majority=2/3,-0194-09,+infinity,,,
H-C1,H-C1,14,53.11.4,萧相国世家,于是萧相国听从了他的计谋，高祖才非常高兴。,-0194-09,+infinity,,汉高祖十二年,53.11.3,-0194-09,+infinity,-0194-09-01to+infinity,,,,,,,,,Agent TimeBlock=53.11.3; TM=汉高祖十二年; Granularity=0. | consensus:majority=2/3,-0194-09,+infinity,,,
H-C1,H-C1,15,53.12.1,萧相国世家,高祖征罢黥布军队回来，民众拦路上书，说相国低价强买百姓田地房屋数量极多。,-0194-09,+infinity,,汉高祖十二年,53.11.3,-0194-09,+infinity,-0194-09-01to+infinity,,,,,,,,,Agent TimeBlock=53.11.3; TM=汉高祖十二年; Granularity=0. | consensus:majority=2/3,-0194-09,+infinity,,,
H-C2,H-C2,1,7.25.1,项羽本纪,汉元年四月，在项王硅麾之下诸侯罢兵散归，各自回到封国。,-0205-04,-0205-12,,汉高祖元年四月,7.25.1,-0205-04,-0205-12,-0205-04-01to-0205-12-01,,,1,汉元年四月,,,,,Agent TimeBlock=7.25.1; TM=汉高祖元年四月; Granularity=2. | consensus:majority=3/3,-0205-04,-0205-12,,,
