participantId,stageId,formId,block,questionId,sourceId,doc,field,answer,correct,isCorrect
P1,stage3,T1,A,A-1-01,7.1.2,项羽本纪,time_span,开始起兵时,开始起兵时,1
P1,stage3,T1,A,A-1-01,7.1.2,项羽本纪,sink,是,否,0
P1,stage3,T1,A,A-1-01,7.1.2,项羽本纪,interlude,是,否,0
P1,stage3,T1,A,A-1-02,7.48.3,项羽本纪,time_span,无,最初，等到项籍死了,0
P1,stage3,T1,A,A-1-02,7.48.3,项羽本纪,sink,否,否,1
P1,stage3,T1,A,A-1-02,7.48.3,项羽本纪,interlude,是,是,1
P1,stage3,T1,A,A-1-03,8.5.11,高祖本纪,time_span,等到高祖显贵,等到高祖显贵,1
P1,stage3,T1,A,A-1-03,8.5.11,高祖本纪,sink,否,否,1
P1,stage3,T1,A,A-1-03,8.5.11,高祖本纪,interlude,否,是,0
P1,stage3,T1,A,A-1-04,8.6.2,高祖本纪,time_span,等到显贵时,等到显贵时,1
P1,stage3,T1,A,A-1-04,8.6.2,高祖本纪,sink,是,否,0
P1,stage3,T1,A,A-1-04,8.6.2,高祖本纪,interlude,是,是,1
P1,stage3,T1,A,A-1-05,8.9.1,高祖本纪,time_span,秦二世元年秋天,秦二世元年秋天,1
P1,stage3,T1,A,A-1-05,8.9.1,高祖本纪,sink,是,否,0
P1,stage3,T1,A,A-1-05,8.9.1,高祖本纪,interlude,否,否,1
P1,stage3,T1,A,A-1-06,8.10.7,高祖本纪,time_span,无,无,1
P1,stage3,T1,A,A-1-06,8.10.7,高祖本纪,sink,否,否,1
P1,stage3,T1,A,A-1-06,8.10.7,高祖本纪,interlude,否,否,1
P1,stage3,T1,A,A-1-07,7.17.7,项羽本纪,time_span,无,无,1
P1,stage3,T1,A,A-1-07,7.17.7,项羽本纪,sink,否,否,1
P1,stage3,T1,A,A-1-07,7.17.7,项羽本纪,interlude,否,否,1
P1,stage3,T1,A,A-1-08,7.17.2,项羽本纪,time_span,无,无,1
P1,stage3,T1,A,A-1-08,7.17.2,项羽本纪,sink,是,否,0
P1,stage3,T1,A,A-1-08,7.17.2,项羽本纪,interlude,否,否,1
P1,stage3,T1,B,B5-01,8.23.3,,choice,B,B,1
P1,stage3,T1,B,B5-02,8.30.1,,choice,B,B,1
P1,stage3,T1,B,B6-01,8.16.1|8.9.1,,choice,B,B,1
P1,stage3,T1,B,B6-02,8.22.1|8.23.3,,choice,D,D,1
P1,stage3,T1,C,C9-01,7.3.15,项羽本纪,choice,B,B,1
P1,stage3,T1,C,C9-02,7.10.1,项羽本纪,choice,C,C,1
P1,stage3,T1,C,C9-03,7.17.2,项羽本纪,choice,A,A,1
P1,stage3,T1,C,C9-04,7.27.1,项羽本纪,choice,D,D,1
P2,stage3,T2,A,A-2-01,8.21.1,高祖本纪,time_span,等到,起初,0
P2,stage3,T2,A,A-2-01,8.21.1,高祖本纪,sink,是,否,0
P2,stage3,T2,A,A-2-01,8.21.1,高祖本纪,interlude,是,是,1
P2,stage3,T2,A,A-2-02,8.38.5,高祖本纪,time_span,第二年,第二年,1
P2,stage3,T2,A,A-2-02,8.38.5,高祖本纪,sink,否,否,1
P2,stage3,T2,A,A-2-02,8.38.5,高祖本纪,interlude,否,否,1
P2,stage3,T2,A,A-2-03,8.60.3,高祖本纪,time_span,项氏失败时,项氏失败时,1
P2,stage3,T2,A,A-2-03,8.60.3,高祖本纪,sink,是,否,0
P2,stage3,T2,A,A-2-03,8.60.3,高祖本纪,interlude,是,否,0
P2,stage3,T2,A,A-2-04,8.84.1,高祖本纪,time_span,高祖攻打黥布时,高祖攻打黥布时,1
P2,stage3,T2,A,A-2-04,8.84.1,高祖本纪,sink,否,否,1
P2,stage3,T2,A,A-2-04,8.84.1,高祖本纪,interlude,否,否,1
P2,stage3,T2,A,A-2-05,8.11.1,高祖本纪,time_span,秦二世二年,秦二世二年,1
P2,stage3,T2,A,A-2-05,8.11.1,高祖本纪,sink,否,否,1
P2,stage3,T2,A,A-2-05,8.11.1,高祖本纪,interlude,否,否,1
P2,stage3,T2,A,A-2-06,8.22.1,高祖本纪,time_span,汉元年十月,汉元年十月,1
P2,stage3,T2,A,A-2-06,8.22.1,高祖本纪,sink,是,否,0
P2,stage3,T2,A,A-2-06,8.22.1,高祖本纪,interlude,否,否,1
P2,stage3,T2,A,A-2-07,7.18.1,项羽本纪,time_span,无,无,1
P2,stage3,T2,A,A-2-07,7.18.1,项羽本纪,sink,是,是,1
P2,stage3,T2,A,A-2-07,7.18.1,项羽本纪,interlude,否,否,1
P2,stage3,T2,A,A-2-08,7.29.3,项羽本纪,time_span,四月,四月,1
P2,stage3,T2,A,A-2-08,7.29.3,项羽本纪,sink,否,否,1
P2,stage3,T2,A,A-2-08,7.29.3,项羽本纪,interlude,否,否,1
P2,stage3,T2,B,B5-03,7.29.3,,choice,D,A,0
P2,stage3,T2,B,B5-04,8.26.1,,choice,C,B,0
P2,stage3,T2,B,B6-03,8.21.1|8.23.5,,choice,B,A,0
P2,stage3,T2,B,B6-04,8.60.3|8.52.7,,choice,C,C,1
P2,stage3,T2,C,C9-05,8.51.2,高祖本纪,choice,B,B,1
P2,stage3,T2,C,C9-06,8.42.5,高祖本纪,choice,D,D,1
P2,stage3,T2,C,C9-07,53.4.3,萧相国世家,choice,A,A,1
P2,stage3,T2,C,C9-08,53.4.2,萧相国世家,choice,C,C,1
P3,stage3,T3,A,A-3-01,53.9.4,萧相国世家,time_span,后又加封萧何,高祖过去到咸阳服役时,0
P3,stage3,T3,A,A-3-01,53.9.4,萧相国世家,sink,否,否,1
P3,stage3,T3,A,A-3-01,53.9.4,萧相国世家,interlude,否,是,0
P3,stage3,T3,A,A-3-02,53.10.6,萧相国世家,time_span,秦朝灭亡后,秦朝灭亡后,1
P3,stage3,T3,A,A-3-02,53.10.6,萧相国世家,sink,是,否,0
P3,stage3,T3,A,A-3-02,53.10.6,萧相国世家,interlude,是,是,1
P3,stage3,T3,A,A-3-03,8.26.1,高祖本纪,time_span,正月,正月,1
P3,stage3,T3,A,A-3-03,8.26.1,高祖本纪,sink,否,否,1
P3,stage3,T3,A,A-3-03,8.26.1,高祖本纪,interlude,否,否,1
P3,stage3,T3,A,A-3-04,8.29.1,高祖本纪,time_span,八月,八月,1
P3,stage3,T3,A,A-3-04,8.29.1,高祖本纪,sink,否,否,1
P3,stage3,T3,A,A-3-04,8.29.1,高祖本纪,interlude,否,否,1
P3,stage3,T3,A,A-3-05,7.32.1,项羽本纪,time_span,汉三年,汉三年,1
P3,stage3,T3,A,A-3-05,7.32.1,项羽本纪,sink,否,否,1
P3,stage3,T3,A,A-3-05,7.32.1,项羽本纪,interlude,否,否,1
P3,stage3,T3,A,A-3-06,53.11.1,萧相国世家,time_span,汉十二年的秋天,汉十二年的秋天,1
P3,stage3,T3,A,A-3-06,53.11.1,萧相国世家,sink,否,否,1
P3,stage3,T3,A,A-3-06,53.11.1,萧相国世家,interlude,否,否,1
P3,stage3,T3,A,A-3-07,7.22.5,项羽本纪,time_span,无,无,1
P3,stage3,T3,A,A-3-07,7.22.5,项羽本纪,sink,否,否,1
P3,stage3,T3,A,A-3-07,7.22.5,项羽本纪,interlude,否,否,1
P3,stage3,T3,A,A-3-08,8.23.11,高祖本纪,time_span,无,无,1
P3,stage3,T3,A,A-3-08,8.23.11,高祖本纪,sink,是,否,0
P3,stage3,T3,A,A-3-08,8.23.11,高祖本纪,interlude,是,否,0
P3,stage3,T3,B,B5-05,8.29.1,,choice,D,D,1
P3,stage3,T3,B,B5-06,53.11.1,,choice,A,A,1
P3,stage3,T3,B,B6-05,53.7.1|53.5.2,,choice,B,B,1
P3,stage3,T3,B,B6-06,8.23.6|7.17.6,,choice,C,C,1
P3,stage3,T3,C,C9-09,53.4.1,萧相国世家,choice,D,D,1
P3,stage3,T3,C,C9-10,53.5.1,萧相国世家,choice,C,C,1
P3,stage3,T3,C,C9-11,53.10.2,萧相国世家,choice,C,C,1
P3,stage3,T3,C,C9-12,53.10.6,萧相国世家,choice,D,D,1
P4,stage3,T1,A,A-1-01,7.1.2,项羽本纪,time_span,无,开始起兵时,0
P4,stage3,T1,A,A-1-01,7.1.2,项羽本纪,sink,是,否,0
P4,stage3,T1,A,A-1-01,7.1.2,项羽本纪,interlude,是,否,0
P4,stage3,T1,A,A-1-02,7.48.3,项羽本纪,time_span,等到项籍死了，鲁城又最后投降,最初，等到项籍死了,0
P4,stage3,T1,A,A-1-02,7.48.3,项羽本纪,sink,是,否,0
P4,stage3,T1,A,A-1-02,7.48.3,项羽本纪,interlude,是,是,1
P4,stage3,T1,A,A-1-03,8.5.11,高祖本纪,time_span,等到高祖显贵,等到高祖显贵,1
P4,stage3,T1,A,A-1-03,8.5.11,高祖本纪,sink,否,否,1
P4,stage3,T1,A,A-1-03,8.5.11,高祖本纪,interlude,是,是,1
P4,stage3,T1,A,A-1-04,8.6.2,高祖本纪,time_span,等到显贵时,等到显贵时,1
P4,stage3,T1,A,A-1-04,8.6.2,高祖本纪,sink,是,否,0
P4,stage3,T1,A,A-1-04,8.6.2,高祖本纪,interlude,是,是,1
P4,stage3,T1,A,A-1-05,8.9.1,高祖本纪,time_span,秦二世元年秋天,秦二世元年秋天,1
P4,stage3,T1,A,A-1-05,8.9.1,高祖本纪,sink,是,否,0
